  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
390000.E+02  4753.14E-04  6522.55E-08
395000.E+02  4769.85E-04  3682.57E-08
400000.E+02  4829.89E-04  2697.64E-08
405000.E+02  1478.25E-03  1560.74E-07
410000.E+02  1529.71E-03  2347.96E-07
415000.E+02  1585.95E-03  2323.51E-07
420000.E+02  1645.95E-03  1485.10E-07
425000.E+02  1715.02E-03  1841.40E-07
430000.E+02  1797.37E-03  1972.10E-07
435000.E+02  1893.81E-03  1520.88E-07
440000.E+02  2008.19E-03  1057.62E-07
445000.E+02  2148.52E-03  1753.88E-07
450000.E+02  2332.93E-03  1715.20E-07
455000.E+02  2582.83E-03  2120.39E-07
460000.E+02  2951.90E-03  2021.52E-07
465000.E+02  3614.10E-03  3094.98E-07
470000.E+02  4494.24E-03  4314.36E-07
475000.E+02  3624.58E-03  5008.20E-07
480000.E+02  1145.62E-03  1731.17E-07
485000.E+02  1163.19E-04  1828.70E-08
490000.E+02  4803.76E-06  6207.33E-10
495000.E+02  0000.00E+00  0000.00E+00
500000.E+02  0000.00E+00  0000.00E+00
