   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
380000.E+02  3514.00E-10  7120.53E-10  
385000.E+02  3476.00E-10  6781.48E-10  
390000.E+02  3670.00E-10  1148.11E-09  
395000.E+02  3502.00E-10  8194.99E-10  
400000.E+02  4106.00E-10  6733.37E-10  
405000.E+02  1274.40E-09  4429.57E-09  
410000.E+02  1427.40E-09  4566.38E-09  
415000.E+02  1496.80E-09  5106.50E-09  
420000.E+02  1549.40E-09  4910.45E-09  
425000.E+02  1649.20E-09  4991.90E-09  
430000.E+02  1749.20E-09  4923.64E-09  
435000.E+02  1873.60E-09  5005.38E-09  
440000.E+02  2043.80E-09  4107.15E-09  
445000.E+02  2189.00E-09  6037.00E-09  
450000.E+02  2467.80E-09  5879.94E-09  
455000.E+02  2847.00E-09  7223.81E-09  
460000.E+02  3499.00E-09  7597.06E-09  
465000.E+02  4995.80E-09  1149.21E-08  
470000.E+02  9805.40E-09  1681.61E-08  
475000.E+02  1259.80E-08  1922.67E-08  
480000.E+02  5453.60E-09  6781.96E-09  
485000.E+02  6516.00E-10  6879.72E-10  
490000.E+02  3460.00E-11  1806.37E-11  
495000.E+02  0000.00E+00  0000.00E+00  
500000.E+02  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2.9375  eV/Vacancy
